name,capital,languages,population,flag,currency
Afghanistan,Kabul,"['Pashto', 'Uzbek', 'Turkmen']",27657145,https://restcountries.eu/data/afg.svg,Afghan afghani
Åland Islands,Mariehamn,['Swedish'],28875,https://restcountries.eu/data/ala.svg,Euro
Albania,Tirana,['Albanian'],2886026,https://restcountries.eu/data/alb.svg,Albanian lek
Algeria,Algiers,['Arabic'],40400000,https://restcountries.eu/data/dza.svg,Algerian dinar
American Samoa,Pago Pago,"['English', 'Samoan']",57100,https://restcountries.eu/data/asm.svg,United State Dollar
Andorra,Andorra la Vella,['Catalan'],78014,https://restcountries.eu/data/and.svg,Euro
Angola,Luanda,['Portuguese'],25868000,https://restcountries.eu/data/ago.svg,Angolan kwanza
Anguilla,The Valley,['English'],13452,https://restcountries.eu/data/aia.svg,East Caribbean dollar
Antarctica,,"['English', 'Russian']",1000,https://restcountries.eu/data/ata.svg,Australian dollar
Antigua and Barbuda,Saint John's,['English'],86295,https://restcountries.eu/data/atg.svg,East Caribbean dollar
Argentina,Buenos Aires,"['Spanish', 'Guaraní']",43590400,https://restcountries.eu/data/arg.svg,Argentine peso
Armenia,Yerevan,"['Armenian', 'Russian']",2994400,https://restcountries.eu/data/arm.svg,Armenian dram
Aruba,Oranjestad,"['Dutch', '(Eastern) Punjabi']",107394,https://restcountries.eu/data/abw.svg,Aruban florin
Australia,Canberra,['English'],24117360,https://restcountries.eu/data/aus.svg,Australian dollar
Austria,Vienna,['German'],8725931,https://restcountries.eu/data/aut.svg,Euro
Azerbaijan,Baku,['Azerbaijani'],9730500,https://restcountries.eu/data/aze.svg,Azerbaijani manat
Bahamas,Nassau,['English'],378040,https://restcountries.eu/data/bhs.svg,Bahamian dollar
Bahrain,Manama,['Arabic'],1404900,https://restcountries.eu/data/bhr.svg,Bahraini dinar
Bangladesh,Dhaka,['Bengali'],161006790,https://restcountries.eu/data/bgd.svg,Bangladeshi taka
Barbados,Bridgetown,['English'],285000,https://restcountries.eu/data/brb.svg,Barbadian dollar
Belarus,Minsk,"['Belarusian', 'Russian']",9498700,https://restcountries.eu/data/blr.svg,New Belarusian ruble
Belgium,Brussels,"['Dutch', 'French', 'German']",11319511,https://restcountries.eu/data/bel.svg,Euro
Belize,Belmopan,"['English', 'Spanish']",370300,https://restcountries.eu/data/blz.svg,Belize dollar
Benin,Porto-Novo,['French'],10653654,https://restcountries.eu/data/ben.svg,West African CFA franc
Bermuda,Hamilton,['English'],61954,https://restcountries.eu/data/bmu.svg,Bermudian dollar
Bhutan,Thimphu,['Dzongkha'],775620,https://restcountries.eu/data/btn.svg,Bhutanese ngultrum
Bolivia (Plurinational State of),Sucre,"['Spanish', 'Aymara', 'Quechua']",10985059,https://restcountries.eu/data/bol.svg,Bolivian boliviano
"Bonaire, Sint Eustatius and Saba",Kralendijk,['Dutch'],17408,https://restcountries.eu/data/bes.svg,United States dollar
Bosnia and Herzegovina,Sarajevo,"['Bosnian', 'Croatian', 'Serbian']",3531159,https://restcountries.eu/data/bih.svg,Bosnia and Herzegovina convertible mark
Botswana,Gaborone,"['English', 'Tswana']",2141206,https://restcountries.eu/data/bwa.svg,Botswana pula
Bouvet Island,,"['Norwegian', 'Norwegian Bokmål', 'Norwegian Nynorsk']",0,https://restcountries.eu/data/bvt.svg,Norwegian krone
Brazil,Brasília,['Portuguese'],206135893,https://restcountries.eu/data/bra.svg,Brazilian real
British Indian Ocean Territory,Diego Garcia,['English'],3000,https://restcountries.eu/data/iot.svg,United States dollar
United States Minor Outlying Islands,,['English'],300,https://restcountries.eu/data/umi.svg,United States Dollar
Virgin Islands (British),Road Town,['English'],28514,https://restcountries.eu/data/vgb.svg,[D]
Virgin Islands (U.S.),Charlotte Amalie,['English'],114743,https://restcountries.eu/data/vir.svg,United States dollar
Brunei Darussalam,Bandar Seri Begawan,['Malay'],411900,https://restcountries.eu/data/brn.svg,Brunei dollar
Bulgaria,Sofia,['Bulgarian'],7153784,https://restcountries.eu/data/bgr.svg,Bulgarian lev
Burkina Faso,Ouagadougou,"['French', 'Fula']",19034397,https://restcountries.eu/data/bfa.svg,West African CFA franc
Burundi,Bujumbura,"['French', 'Kirundi']",10114505,https://restcountries.eu/data/bdi.svg,Burundian franc
Cambodia,Phnom Penh,['Khmer'],15626444,https://restcountries.eu/data/khm.svg,Cambodian riel
Cameroon,Yaoundé,"['English', 'French']",22709892,https://restcountries.eu/data/cmr.svg,Central African CFA franc
Canada,Ottawa,"['English', 'French']",36155487,https://restcountries.eu/data/can.svg,Canadian dollar
Cabo Verde,Praia,['Portuguese'],531239,https://restcountries.eu/data/cpv.svg,Cape Verdean escudo
Cayman Islands,George Town,['English'],58238,https://restcountries.eu/data/cym.svg,Cayman Islands dollar
Central African Republic,Bangui,"['French', 'Sango']",4998000,https://restcountries.eu/data/caf.svg,Central African CFA franc
Chad,N'Djamena,"['French', 'Arabic']",14497000,https://restcountries.eu/data/tcd.svg,Central African CFA franc
Chile,Santiago,['Spanish'],18191900,https://restcountries.eu/data/chl.svg,Chilean peso
China,Beijing,['Chinese'],1377422166,https://restcountries.eu/data/chn.svg,Chinese yuan
Christmas Island,Flying Fish Cove,['English'],2072,https://restcountries.eu/data/cxr.svg,Australian dollar
Cocos (Keeling) Islands,West Island,['English'],550,https://restcountries.eu/data/cck.svg,Australian dollar
Colombia,Bogotá,['Spanish'],48759958,https://restcountries.eu/data/col.svg,Colombian peso
Comoros,Moroni,"['Arabic', 'French']",806153,https://restcountries.eu/data/com.svg,Comorian franc
Congo,Brazzaville,"['French', 'Lingala']",4741000,https://restcountries.eu/data/cog.svg,Central African CFA franc
Congo (Democratic Republic of the),Kinshasa,"['French', 'Lingala', 'Kongo', 'Swahili', 'Luba-Katanga']",85026000,https://restcountries.eu/data/cod.svg,Congolese franc
Cook Islands,Avarua,['English'],18100,https://restcountries.eu/data/cok.svg,New Zealand dollar
Costa Rica,San José,['Spanish'],4890379,https://restcountries.eu/data/cri.svg,Costa Rican colón
Croatia,Zagreb,['Croatian'],4190669,https://restcountries.eu/data/hrv.svg,Croatian kuna
Cuba,Havana,['Spanish'],11239004,https://restcountries.eu/data/cub.svg,Cuban convertible peso
Curaçao,Willemstad,"['Dutch', '(Eastern) Punjabi', 'English']",154843,https://restcountries.eu/data/cuw.svg,Netherlands Antillean guilder
Cyprus,Nicosia,"['Greek (modern)', 'Turkish', 'Armenian']",847000,https://restcountries.eu/data/cyp.svg,Euro
Czech Republic,Prague,"['Czech', 'Slovak']",10558524,https://restcountries.eu/data/cze.svg,Czech koruna
Denmark,Copenhagen,['Danish'],5717014,https://restcountries.eu/data/dnk.svg,Danish krone
Djibouti,Djibouti,"['French', 'Arabic']",900000,https://restcountries.eu/data/dji.svg,Djiboutian franc
Dominica,Roseau,['English'],71293,https://restcountries.eu/data/dma.svg,East Caribbean dollar
Dominican Republic,Santo Domingo,['Spanish'],10075045,https://restcountries.eu/data/dom.svg,Dominican peso
Ecuador,Quito,['Spanish'],16545799,https://restcountries.eu/data/ecu.svg,United States dollar
Egypt,Cairo,['Arabic'],91290000,https://restcountries.eu/data/egy.svg,Egyptian pound
El Salvador,San Salvador,['Spanish'],6520675,https://restcountries.eu/data/slv.svg,United States dollar
Equatorial Guinea,Malabo,"['Spanish', 'French']",1222442,https://restcountries.eu/data/gnq.svg,Central African CFA franc
Eritrea,Asmara,"['Tigrinya', 'Arabic', 'English']",5352000,https://restcountries.eu/data/eri.svg,Eritrean nakfa
Estonia,Tallinn,['Estonian'],1315944,https://restcountries.eu/data/est.svg,Euro
Ethiopia,Addis Ababa,['Amharic'],92206005,https://restcountries.eu/data/eth.svg,Ethiopian birr
Falkland Islands (Malvinas),Stanley,['English'],2563,https://restcountries.eu/data/flk.svg,Falkland Islands pound
Faroe Islands,Tórshavn,['Faroese'],49376,https://restcountries.eu/data/fro.svg,Danish krone
Fiji,Suva,"['English', 'Fijian', 'Hindi', 'Urdu']",867000,https://restcountries.eu/data/fji.svg,Fijian dollar
Finland,Helsinki,"['Finnish', 'Swedish']",5491817,https://restcountries.eu/data/fin.svg,Euro
France,Paris,['French'],66710000,https://restcountries.eu/data/fra.svg,Euro
French Guiana,Cayenne,['French'],254541,https://restcountries.eu/data/guf.svg,Euro
French Polynesia,Papeetē,['French'],271800,https://restcountries.eu/data/pyf.svg,CFP franc
French Southern Territories,Port-aux-Français,['French'],140,https://restcountries.eu/data/atf.svg,Euro
Gabon,Libreville,['French'],1802278,https://restcountries.eu/data/gab.svg,Central African CFA franc
Gambia,Banjul,['English'],1882450,https://restcountries.eu/data/gmb.svg,Gambian dalasi
Georgia,Tbilisi,['Georgian'],3720400,https://restcountries.eu/data/geo.svg,Georgian Lari
Germany,Berlin,['German'],81770900,https://restcountries.eu/data/deu.svg,Euro
Ghana,Accra,['English'],27670174,https://restcountries.eu/data/gha.svg,Ghanaian cedi
Gibraltar,Gibraltar,['English'],33140,https://restcountries.eu/data/gib.svg,Gibraltar pound
Greece,Athens,['Greek (modern)'],10858018,https://restcountries.eu/data/grc.svg,Euro
Greenland,Nuuk,['Kalaallisut'],55847,https://restcountries.eu/data/grl.svg,Danish krone
Grenada,St. George's,['English'],103328,https://restcountries.eu/data/grd.svg,East Caribbean dollar
Guadeloupe,Basse-Terre,['French'],400132,https://restcountries.eu/data/glp.svg,Euro
Guam,Hagåtña,"['English', 'Chamorro', 'Spanish']",184200,https://restcountries.eu/data/gum.svg,United States dollar
Guatemala,Guatemala City,['Spanish'],16176133,https://restcountries.eu/data/gtm.svg,Guatemalan quetzal
Guernsey,St. Peter Port,"['English', 'French']",62999,https://restcountries.eu/data/ggy.svg,British pound
Guinea,Conakry,"['French', 'Fula']",12947000,https://restcountries.eu/data/gin.svg,Guinean franc
Guinea-Bissau,Bissau,['Portuguese'],1547777,https://restcountries.eu/data/gnb.svg,West African CFA franc
Guyana,Georgetown,['English'],746900,https://restcountries.eu/data/guy.svg,Guyanese dollar
Haiti,Port-au-Prince,"['French', 'Haitian']",11078033,https://restcountries.eu/data/hti.svg,Haitian gourde
Heard Island and McDonald Islands,,['English'],0,https://restcountries.eu/data/hmd.svg,Australian dollar
Holy See,Rome,"['Latin', 'Italian', 'French', 'German']",451,https://restcountries.eu/data/vat.svg,Euro
Honduras,Tegucigalpa,['Spanish'],8576532,https://restcountries.eu/data/hnd.svg,Honduran lempira
Hong Kong,City of Victoria,"['English', 'Chinese']",7324300,https://restcountries.eu/data/hkg.svg,Hong Kong dollar
Hungary,Budapest,['Hungarian'],9823000,https://restcountries.eu/data/hun.svg,Hungarian forint
Iceland,Reykjavík,['Icelandic'],334300,https://restcountries.eu/data/isl.svg,Icelandic króna
India,New Delhi,"['Hindi', 'English']",1295210000,https://restcountries.eu/data/ind.svg,Indian rupee
Indonesia,Jakarta,['Indonesian'],258705000,https://restcountries.eu/data/idn.svg,Indonesian rupiah
Côte d'Ivoire,Yamoussoukro,['French'],22671331,https://restcountries.eu/data/civ.svg,West African CFA franc
Iran (Islamic Republic of),Tehran,['Persian (Farsi)'],79369900,https://restcountries.eu/data/irn.svg,Iranian rial
Iraq,Baghdad,"['Arabic', 'Kurdish']",37883543,https://restcountries.eu/data/irq.svg,Iraqi dinar
Ireland,Dublin,"['Irish', 'English']",6378000,https://restcountries.eu/data/irl.svg,Euro
Isle of Man,Douglas,"['English', 'Manx']",84497,https://restcountries.eu/data/imn.svg,British pound
Israel,Jerusalem,"['Hebrew (modern)', 'Arabic']",8527400,https://restcountries.eu/data/isr.svg,Israeli new shekel
Italy,Rome,['Italian'],60665551,https://restcountries.eu/data/ita.svg,Euro
Jamaica,Kingston,['English'],2723246,https://restcountries.eu/data/jam.svg,Jamaican dollar
Japan,Tokyo,['Japanese'],126960000,https://restcountries.eu/data/jpn.svg,Japanese yen
Jersey,Saint Helier,"['English', 'French']",100800,https://restcountries.eu/data/jey.svg,British pound
Jordan,Amman,['Arabic'],9531712,https://restcountries.eu/data/jor.svg,Jordanian dinar
Kazakhstan,Astana,"['Kazakh', 'Russian']",17753200,https://restcountries.eu/data/kaz.svg,Kazakhstani tenge
Kenya,Nairobi,"['English', 'Swahili']",47251000,https://restcountries.eu/data/ken.svg,Kenyan shilling
Kiribati,South Tarawa,['English'],113400,https://restcountries.eu/data/kir.svg,Australian dollar
Kuwait,Kuwait City,['Arabic'],4183658,https://restcountries.eu/data/kwt.svg,Kuwaiti dinar
Kyrgyzstan,Bishkek,"['Kyrgyz', 'Russian']",6047800,https://restcountries.eu/data/kgz.svg,Kyrgyzstani som
Lao People's Democratic Republic,Vientiane,['Lao'],6492400,https://restcountries.eu/data/lao.svg,Lao kip
Latvia,Riga,['Latvian'],1961600,https://restcountries.eu/data/lva.svg,Euro
Lebanon,Beirut,"['Arabic', 'French']",5988000,https://restcountries.eu/data/lbn.svg,Lebanese pound
Lesotho,Maseru,"['English', 'Southern Sotho']",1894194,https://restcountries.eu/data/lso.svg,Lesotho loti
Liberia,Monrovia,['English'],4615000,https://restcountries.eu/data/lbr.svg,Liberian dollar
Libya,Tripoli,['Arabic'],6385000,https://restcountries.eu/data/lby.svg,Libyan dinar
Liechtenstein,Vaduz,['German'],37623,https://restcountries.eu/data/lie.svg,Swiss franc
Lithuania,Vilnius,['Lithuanian'],2872294,https://restcountries.eu/data/ltu.svg,Euro
Luxembourg,Luxembourg,"['French', 'German', 'Luxembourgish']",576200,https://restcountries.eu/data/lux.svg,Euro
Macao,,"['Chinese', 'Portuguese']",649100,https://restcountries.eu/data/mac.svg,Macanese pataca
Macedonia (the former Yugoslav Republic of),Skopje,['Macedonian'],2058539,https://restcountries.eu/data/mkd.svg,Macedonian denar
Madagascar,Antananarivo,"['French', 'Malagasy']",22434363,https://restcountries.eu/data/mdg.svg,Malagasy ariary
