address_id,streetaddress,xcoord,ycoord,latitude,longitude,city,state,zipcode,maraddressrepositoryid,ward
1,1119 WEST VIRGINIA AVENUE NE,400665.55,137382.83,38.90430183,-76.99232695,WASHINGTON,DC,20002,73582,5
2,1034 EUCLID STREET NW,397702.61,139517.67,38.92353043,-77.02649349,WASHINGTON,DC,20001,233078,1
3,1221 HOLBROOK STREET NE,401395.61,137135.33,38.90207141,-76.98391067,WASHINGTON,DC,20002,70938,5
4,1258 HOLBROOK TERRACE NE,401310.65,137676.23,38.90694382,-76.9848891,WASHINGTON,DC,20002,69343,5
5,2030 GEORGIA AVENUE NW,398074.54,138833.29,38.91736621,-77.02220248,WASHINGTON,DC,20001,279519,1
6,1235 HOLBROOK TERRACE NE,401236.13,137679.22,38.9069712,-76.98574826,WASHINGTON,DC,20002,70341,5
7,3118 MOUNT PLEASANT STREET NW,396707.91,140175.91,38.9294569,-77.03796753,WASHINGTON,DC,20010,236445,1
8,3106 MOUNT PLEASANT STREET NW,396727.6,140132.96,38.92907007,-77.03774024,WASHINGTON,DC,20010,236440,1
9,3100 MOUNT PLEASANT STREET NW,396737.87,140113.58,38.92889553,-77.0376217,WASHINGTON,DC,20010,236441,1
10,1737 COLUMBIA ROAD NW,396487.52,139606.65,38.92432798,-77.04050636,WASHINGTON,DC,20009,302501,1
11,1800 COLUMBIA ROAD NW,396282.89,139366.05,38.92215973,-77.04286488,WASHINGTON,DC,20009,235413,1
12,1832 COLUMBIA ROAD NW,396263.19,139322.76,38.92176968,-77.04309182,WASHINGTON,DC,20009,235390,1
13,4308 13TH PLACE NE,401084.5,141596.58,38.94226022,-76.98749026,WASHINGTON,DC,20017,23893,5
14,1630 19TH STREET NW,396208.93,138246.34,38.9120727,-77.04371159,WASHINGTON,DC,20009,218385,2
15,1779 COLUMBIA ROAD NW,396333.82,139493.12,38.92330463,-77.04227824,WASHINGTON,DC,20009,235934,1
16,BILTMORE STREET NW AND COLUMBIA ROAD NW,396256.12498648,139380.88078107,38.92229289,-77.04317361,WASHINGTON,DC,20009,905208,1
17,1834 COLUMBIA ROAD NW,396258.42,139318.55,38.92173173,-77.0431468,WASHINGTON,DC,20009,235389,1
18,1844 COLUMBIA ROAD NW,396255.53,139292.85,38.92150021,-77.04317999,WASHINGTON,DC,20009,226499,1
19,1848 COLUMBIA ROAD NW,396253.53,139276.57,38.92135354,-77.04320296,WASHINGTON,DC,20009,235404,1
20,COLUMBIA ROAD NW AND 19TH STREET NW,396116.53125835,139021.20887673,38.91905224,-77.04478134,WASHINGTON,DC,20009,903267,1
21,FLORIDA AVENUE NW AND 19TH STREET NW,396233.06249045,138669.94327641,38.91588843,-77.04343566,WASHINGTON,DC,20009,903485,Null
22,3635 WARDER STREET NW,398179.75,140898.5,38.93597049,-77.02099478,WASHINGTON,DC,20010,228484,1
23,925 19TH STREET NE,402084.0,137210.97,38.90275143,-76.97597432,WASHINGTON,DC,20002,82662,5
24,T STREET NW AND 19TH STREET NW,396234.09375445,138634.97450838,38.91557342,-77.04342358,WASHINGTON,DC,20009,907147,2
25,1819 19TH STREET NW,396259.9,138542.42,38.91474011,-77.04312551,WASHINGTON,DC,20009,226403,2
26,19TH STREET NW AND S STREET NW,396233.53125846,138470.24014022,38.91408944,-77.04342916,WASHINGTON,DC,20009,907268,2
27,19TH STREET NW AND R STREET NW,396233.21874646,138305.77140407,38.91260785,-77.04343186,WASHINGTON,DC,20009,907185,2
28,1635 19TH STREET NW,396255.91,138260.77,38.91220289,-77.04316998,WASHINGTON,DC,20009,241257,2
