servicerequestid,servicecode,status_id,address_id,adddate,resolutiondate,serviceduedate,serviceorderdate,details,servicecallcount
23-00619594,S0321,1,1,2023-11-29 05:00:00,2023-11-29 20:00:00,2023-12-01 05:00:00,2023-11-29 05:00:00,,1
23-00619600,CONTREMO,1,1,2023-11-29 05:00:00,2023-12-18 20:00:00,2023-12-28 05:00:00,2023-11-29 05:00:00,,1
23-00623776,S0477,1,1,2023-11-30 22:00:00,2023-12-18 18:00:00,2023-12-19 00:00:00,2023-11-30 22:00:00,,1
23-00619595,PETWASTECOMP,1,2,2023-11-29 05:00:00,2023-11-29 05:00:00,2023-11-30 05:00:00,2023-11-29 05:00:00,,1
23-00619596,S0336,1,3,2023-11-29 05:00:00,2023-11-29 10:00:00,2024-01-10 05:00:00,2023-11-29 05:00:00,,1
23-00619598,SPSTDAMA,1,5,2023-11-29 05:00:00,2023-11-29 05:00:00,2023-11-30 05:00:00,2023-11-29 05:00:00,,1
23-00619599,S0336,1,6,2023-11-29 05:00:00,2023-12-02 08:00:00,2024-01-10 05:00:00,2023-11-29 05:00:00,,1
23-00619603,S0346,1,8,2023-11-29 05:00:00,2023-12-18 13:00:00,2023-12-06 05:00:00,2023-11-29 05:00:00,,1
23-00619604,S0346,1,9,2023-11-29 05:00:00,2023-12-18 13:00:00,2023-12-06 05:00:00,2023-11-29 05:00:00,,1
23-00630377,SIGNMISS_v2,4,9,2023-12-05 12:00:00,,2024-06-06 12:00:00,2023-12-05 12:00:00,,1
23-00619605,S05SL,1,10,2023-11-29 05:00:00,2023-12-14 20:00:00,2023-12-08 05:00:00,2023-11-29 05:00:00,,1
23-00619609,VACPROP,1,12,2023-11-29 05:00:00,2023-12-11 20:00:00,2024-04-19 05:00:00,2023-11-29 05:00:00,,1
23-00663873,VACPROP,1,12,2023-12-26 19:00:00,2023-12-28 11:00:00,2024-05-20 19:00:00,2023-12-26 19:00:00,,1
23-00619610,S0031,1,13,2023-11-29 05:00:00,2023-12-06 14:00:00,2023-12-07 05:00:00,2023-11-29 05:00:00,,1
23-00619606,S05SL,1,15,2023-11-29 05:00:00,2023-12-14 18:00:00,2023-12-08 05:00:00,2023-11-29 05:00:00,,1
23-00619611,VACPROP,1,17,2023-11-29 05:00:00,2023-12-11 22:00:00,2024-04-19 05:00:00,2023-11-29 05:00:00,,1
23-00663875,VACPROP,1,17,2023-12-26 19:00:00,2023-12-28 12:00:00,2024-05-20 19:00:00,2023-12-26 19:00:00,,1
23-00619613,S0361,1,19,2023-11-29 06:00:00,2023-12-01 15:00:00,2024-12-11 06:00:00,2023-11-29 06:00:00,,1
23-00619616,S0031,1,22,2023-11-29 06:00:00,2023-12-07 20:00:00,2023-12-08 05:00:00,2023-11-29 06:00:00,,1
23-00639303,S0031,1,22,2023-12-09 19:00:00,2023-12-13 16:00:00,2023-12-14 05:00:00,2023-12-09 19:00:00,,1
23-00645603,S0031,1,22,2023-12-13 17:00:00,2023-12-19 20:00:00,2023-12-20 05:00:00,2023-12-13 17:00:00,,1
